crisno,year,crisname,ccode1,actor1,ccode2,actor2,history,crisis,victory1,prevail1,victory2,prevail2,a1outcome,a2outcome,ssbn_count_2024_1,ssbn_count_2024_2,ssbn_start_1,ssbn_start_2,hydrogen_start_1,hydrogen_start_2,sss_start_1,sss_start_2,coder,kinetic,a1democracy,a2democracy,complexity,salience,independence,a2awareness,a1awareness,a2threat,a1threat,a1intensity,a2intensity
241,1971,Invasion of Laos II,816,DRV,2,US,2,1,FALSE,TRUE,FALSE,FALSE,NEUTRAL,LOSS,0,0,0,0,0,0,0,0,aiden,1,0,1,0,3,0,1,1,,CONVENTIONAL,3,2
241,1971,Invasion of Laos II,816,DRV,817,RVN,2,1,FALSE,TRUE,FALSE,FALSE,NEUTRAL,LOSS,0,0,0,0,0,0,0,0,aiden,1,0,0,0,4,0,1,1,,CONVENTIONAL,3,3
241,1971,Invasion of Laos II,816,DRV,812,LAO,2,1,FALSE,TRUE,FALSE,FALSE,NEUTRAL,LOSS,0,0,0,0,0,0,0,0,aiden,0,0,0,1,3,0,1,1,,CONVENTIONAL,3,0
241,1971,Invasion of Laos II,816,DRV,817,RVN,3,1,FALSE,TRUE,FALSE,FALSE,NEUTRAL,LOSS,0,0,0,0,0,0,0,0,max,1,0,0,0,3,0,1,1,CONVENTIONAL,CONVENTIONAL,2,3
241,1971,Invasion of Laos II,816,DRV,2,USA,3,1,FALSE,TRUE,FALSE,FALSE,NEUTRAL,LOSS,0,14,0,1,0,1,0,1,max,1,0,1,0,3,0,1,1,CONVENTIONAL,CONVENTIONAL,2,3
242,1971,BANGLADESH,750,IND,770,PAK,0,1,TRUE,TRUE,FALSE,FALSE,WIN,LOSE,2,0,0,0,0,0,0,0,icb,1,1,0,0,1,0,1,1,,CONVENTIONAL,4,4
242,1971,Bangladesh,771,BNG,770,PAK,1,1,TRUE,TRUE,FALSE,FALSE,WIN,LOSS,0,0,0,0,0,0,0,0,aiden,1,0,0,0,4,0,1,1,CONVENTIONAL,,4,4
242,1971,Bangladesh,771,BNG,2,USA,1,1,FALSE,TRUE,FALSE,FALSE,NEUTRAL,LOSS,0,14,0,1,0,1,0,1,aiden,0,0,1,0,1,0,1,1,,,0,0
242,1971,Bangladesh,750,IND,2,USA,1,1,FALSE,TRUE,FALSE,FALSE,NEUTRAL,LOSS,2,14,0,1,0,1,0,1,aiden,0,0,1,0,1,0,1,1,,,0,0
242,1971,Bangladesh,750,IND,770,PAK,1,1,TRUE,TRUE,FALSE,FALSE,WIN,LOSS,2,0,0,0,0,0,0,0,aiden,1,0,0,0,4,0,1,1,CONVENTIONAL,,4,4
242,1971,Bangladesh,365,RUS,770,PAK,1,1,TRUE,TRUE,FALSE,FALSE,WIN,LOSS,11,0,1,0,1,0,1,0,aiden,0,0,0,0,1,0,1,1,,,0,0
242,1971,Bangladesh,365,RUS,2,USA,1,1,TRUE,TRUE,FALSE,FALSE,WIN,LOSS,11,14,1,1,1,1,1,1,aiden,0,0,0,0,1,0,1,1,,,0,0
242,1971,Bangladesh Liberation War,771,BNG,770,PAK,2,1,TRUE,TRUE,FALSE,FALSE,WIN,LOSS,0,0,0,0,0,0,0,0,yan,1,0,0,0,5,1,1,1,CONVENTIONAL,CONVENTIONAL,4,4
242,1971,Bangladesh Liberation War,771,BNG,2,USA,2,1,FALSE,TRUE,FALSE,FALSE,NEUTRAL,LOSS,0,14,0,1,0,1,0,1,yan,0,0,1,0,1,0,1,1,,,,
